DATE, INBOUND_FOR , OUTBOUND_FOR , NET_FOR , INBOUND_KZT , OUTBOUND_KZT , NET_KZT , NET_TOTAL ,USD,EUR,DELTA_NET_USD,DELTA_NET_EUR,DELTA_IN_FOR,DELTA_OUT_FOR,DELTA_NET_FOR,DELTA_IN_KZT,DELTA_OUT_KZT,DELTA_NET_KZT,DELTA_NET_TOTAL,CALENDAR,RATE_FOR,RATE_KZT
4/7/2016,15347884.0000,39100556.0000,-23752672.0000,59095250.0000,37052552.0000,22042699.0000,-1709974.0000,344.5400,391.0200,0.0028,0.0034,-0.1253,0.2910,-0.8644,-0.0629,0.0201,-0.1756,-1.1222,NORMAL,0.0240,0.1220
4/8/2016,19478033.0000,28243544.0000,-8765511.0000,57213060.0000,35028107.0000,22184953.0000,13419442.0000,341.1900,388.6200,0.0097,0.0061,0.2691,-0.2777,0.6310,-0.0319,-0.0546,0.0065,-8.8477,NORMAL,0.0240,0.1220
4/9/2016,12910976.0000,13328087.0000,-417112.0000,42818410.0000,21110459.0000,21707951.0000,21290840.0000,340.3100,387.1000,0.0026,0.0039,-0.3372,-0.5281,0.9524,-0.2516,-0.3973,-0.0215,0.5866,WEEKEND,0.0240,0.1220
4/10/2016,4888114.0000,6155657.0000,-1267543.0000,23815224.0000,15505943.0000,8309281.0000,7041739.0000,340.3100,387.1000,0.0000,0.0000,-0.6214,-0.5381,-2.0389,-0.4438,-0.2655,-0.6172,-0.6693,WEEKEND,0.0240,0.1220
4/11/2016,21155342.0000,41352824.0000,-20197482.0000,69882549.0000,37881725.0000,32000824.0000,11803342.0000,340.3100,387.1000,0.0000,0.0000,3.3279,5.7179,-14.9344,1.9344,1.4430,2.8512,0.6762,NORMAL,0.0240,0.1220
4/12/2016,17665739.0000,53761146.0000,-36095407.0000,82765842.0000,39241777.0000,43524065.0000,7428658.0000,336.8700,383.4900,0.0101,0.0093,-0.1650,0.3001,-0.7871,0.1844,0.0359,0.3601,-0.3706,NORMAL,0.0240,0.1220
4/13/2016,21086947.0000,67705140.0000,-46618193.0000,98328648.0000,39475616.0000,58853032.0000,12234839.0000,335.6400,383.3700,0.0037,0.0003,0.1937,0.2594,-0.2915,0.1880,0.0060,0.3522,0.6470,NORMAL,0.0240,0.1220
4/14/2016,17241464.0000,49555565.0000,-32314101.0000,74757795.0000,37024112.0000,37733683.0000,5419582.0000,333.7600,377.2500,0.0056,0.0160,-0.1824,-0.2681,0.3068,-0.2397,-0.0621,-0.3588,-0.5570,NORMAL,0.0240,0.1220
4/15/2016,19326094.0000,39819921.0000,-20493827.0000,62625550.0000,41455113.0000,21170437.0000,676610.0000,334.7000,376.8400,-0.0028,0.0011,0.1209,-0.1965,0.3658,-0.1623,0.1197,-0.4390,-0.8752,NORMAL,0.0240,0.1220
4/16/2016,13295468.0000,13366450.0000,-70982.0000,38630800.0000,24921886.0000,13708915.0000,13637933.0000,334.4100,376.6100,0.0009,0.0006,-0.3120,-0.6643,0.9965,-0.3831,-0.3988,-0.3525,19.1563,WEEKEND,0.0240,0.1220
4/17/2016,5610511.0000,7026215.0000,-1415704.0000,19391115.0000,13280599.0000,6110517.0000,4694813.0000,334.4100,376.6100,0.0000,0.0000,-0.5780,-0.4743,-18.9445,-0.4980,-0.4671,-0.5543,-0.6558,WEEKEND,0.0240,0.1220
4/18/2016,48096699.0000,31758372.0000,16338327.0000,57586477.0000,71228558.0000,-13642082.0000,2696245.0000,334.4100,376.6100,0.0000,0.0000,7.5726,3.5200,12.5408,1.9697,4.3634,-3.2326,-0.4257,NORMAL,0.0240,0.1220
4/19/2016,23168856.0000,37300462.0000,-14131606.0000,58656125.0000,46023780.0000,12632346.0000,-1499261.0000,340.2300,384.4300,-0.0174,-0.0208,-0.5183,0.1745,1.8649,0.0186,-0.3539,-1.9260,-1.5561,NORMAL,0.0240,0.1220
4/20/2016,16942585.0000,28958303.0000,-12015718.0000,49283380.0000,37062161.0000,12221219.0000,205501.0000,337.9900,382.9400,0.0066,0.0039,-0.2687,-0.2236,0.1497,-0.1598,-0.1947,-0.0325,-1.1371,NORMAL,0.0240,0.1220
4/21/2016,16869724.0000,36459114.0000,-19589390.0000,53606228.0000,37958117.0000,15648111.0000,-3941279.0000,337.1400,383.2900,0.0025,-0.0009,-0.0043,0.2590,-0.6303,0.0877,0.0242,0.2804,-20.1789,NORMAL,0.0240,0.1220
4/22/2016,14703832.0000,24692106.0000,-9988274.0000,49027406.0000,36663793.0000,12363613.0000,2375339.0000,332.5100,375.7000,0.0137,0.0198,-0.1284,-0.3227,0.4901,-0.0854,-0.0341,-0.2099,-1.6027,NORMAL,0.0240,0.1220
4/23/2016,8187154.0000,10170839.0000,-1983685.0000,32486628.0000,21891945.0000,10594683.0000,8610998.0000,334.5900,377.3200,-0.0063,-0.0043,-0.4432,-0.5881,0.8014,-0.3374,-0.4029,-0.1431,2.6252,WEEKEND,0.0240,0.1220
4/24/2016,2986009.0000,6944768.0000,-3958759.0000,17532456.0000,15784925.0000,1747530.0000,-2211229.0000,334.5900,377.3200,0.0000,0.0000,-0.6353,-0.3172,-0.9957,-0.4603,-0.2790,-0.8351,-1.2568,WEEKEND,0.0240,0.1220
4/25/2016,16290438.0000,27923838.0000,-11633400.0000,49366686.0000,35465392.0000,13901294.0000,2267894.0000,334.5900,377.3200,0.0000,0.0000,4.4556,3.0208,-1.9386,1.8157,1.2468,6.9548,-2.0256,NORMAL,0.0240,0.1220
4/26/2016,16878950.0000,33361356.0000,-16482405.0000,49077217.0000,37055276.0000,12021941.0000,-4460464.0000,333.8100,375.6700,0.0023,0.0044,0.0361,0.1947,-0.4168,-0.0059,0.0448,-0.1352,-2.9668,NORMAL,0.0240,0.1220
4/27/2016,14804474.0000,35618220.0000,-20813746.0000,54722836.0000,33832635.0000,20890202.0000,76456.0000,333.2600,376.0500,0.0016,-0.0010,-0.1229,0.0676,-0.2628,0.1150,-0.0870,0.7377,-1.0171,NORMAL,0.0240,0.1220
4/28/2016,13547176.0000,36825681.0000,-23278505.0000,59774314.0000,36457872.0000,23316442.0000,37937.0000,331.0800,374.5800,0.0065,0.0039,-0.0849,0.0339,-0.1184,0.0923,0.0776,0.1161,-0.5038,NORMAL,0.0240,0.1220
4/29/2016,14127836.0000,50829956.0000,-36702120.0000,84285029.0000,35838033.0000,48446996.0000,11744876.0000,330.4100,375.1500,0.0020,-0.0015,0.0429,0.3803,-0.5767,0.4101,-0.0170,1.0778,308.5890,NORMAL,0.0240,0.1220
4/30/2016,10869634.0000,16720328.0000,-5850694.0000,45682972.0000,21265549.0000,24417423.0000,18566729.0000,327.6600,373.1400,0.0083,0.0054,-0.2306,-0.6711,0.8406,-0.4580,-0.4066,-0.4960,0.5808,SALARY,0.0240,0.1220
5/1/2016,4487027.0000,7653309.0000,-3166282.0000,21557277.0000,14132495.0000,7424783.0000,4258501.0000,327.6600,373.1400,0.0000,0.0000,-0.5872,-0.5423,0.4588,-0.5281,-0.3354,-0.6959,-0.7706,SALARY,0.0240,0.1220
5/2/2016,9279476.0000,9102543.0000,176933.0000,27482802.0000,26157173.0000,1325629.0000,1502561.0000,327.6600,373.1400,0.0000,0.0000,1.0681,0.1894,1.0559,0.2749,0.8509,-0.8215,-0.6472,HOLIDAY,0.0240,0.1220
5/3/2016,25351328.0000,31176430.0000,-5825102.0000,65353315.0000,50268917.0000,15084398.0000,9259296.0000,327.6600,373.1400,0.0000,0.0000,1.7320,2.4250,33.9226,1.3780,0.9218,10.3790,5.1623,NORMAL,0.0240,0.1220
5/4/2016,20877902.0000,45776657.0000,-24898755.0000,63793963.0000,50519280.0000,13274683.0000,-11624072.0000,329.2100,381.5200,-0.0047,-0.0225,-0.1765,0.4683,-3.2744,-0.0239,0.0050,-0.1200,-2.2554,NORMAL,0.0240,0.1220
5/5/2016,19723305.0000,34600684.0000,-14877379.0000,62630405.0000,41444296.0000,21186109.0000,6308729.0000,332.5100,381.7900,-0.0100,-0.0007,-0.0553,-0.2441,0.4025,-0.0182,-0.1796,0.5960,-1.5427,NORMAL,0.0240,0.1220
5/6/2016,22257361.0000,30514278.0000,-8256917.0000,67918295.0000,38798803.0000,29119491.0000,20862574.0000,335.7100,383.9200,-0.0096,-0.0056,0.1285,-0.1181,0.4450,0.0844,-0.0638,0.3745,2.3069,NORMAL,0.0240,0.1220
5/7/2016,7513171.0000,6744683.0000,768488.0000,34980298.0000,18035846.0000,16944452.0000,17712940.0000,334.6000,382.1500,0.0033,0.0046,-0.6624,-0.7790,1.0931,-0.4850,-0.5351,-0.4181,-0.1510,HOLIDAY,0.0240,0.1220
5/8/2016,2760734.0000,5657686.0000,-2896953.0000,22497470.0000,13851965.0000,8645506.0000,5748553.0000,334.6000,382.1500,0.0000,0.0000,-0.6325,-0.1612,4.7697,-0.3569,-0.2320,-0.4898,-0.6755,NORMAL,0.0240,0.1220
5/9/2016,3009007.0000,6155687.0000,-3146681.0000,19857890.0000,11105130.0000,8752760.0000,5606079.0000,334.6000,382.1500,0.0000,0.0000,0.0899,0.0880,-0.0862,-0.1173,-0.1983,0.0124,-0.0248,HOLIDAY,0.0240,0.1220
5/10/2016,10426316.0000,9304042.0000,1122274.0000,37882936.0000,27888621.0000,9994315.0000,11116589.0000,334.6000,382.1500,0.0000,0.0000,2.4650,0.5115,1.3567,0.9077,1.5113,0.1418,0.9830,HOLIDAY,0.0240,0.1220
5/11/2016,17261497.0000,24732599.0000,-7471102.0000,57005846.0000,40093939.0000,16911907.0000,9440805.0000,334.6000,382.1500,0.0000,0.0000,0.6556,1.6583,7.6571,0.5048,0.4376,0.6922,-0.1507,NORMAL,0.0240,0.1220
5/12/2016,19695671.0000,40596062.0000,-20900390.0000,57618323.0000,45084383.0000,12533940.0000,-8366451.0000,333.2300,379.6200,0.0041,0.0066,0.1410,0.6414,-1.7975,0.0107,0.1245,-0.2589,-1.8862,NORMAL,0.0240,0.1220
5/13/2016,14677931.0000,22470303.0000,-7792372.0000,51302305.0000,41483714.0000,9818591.0000,2026219.0000,329.7900,376.1900,0.0103,0.0090,-0.2548,-0.4465,0.6272,-0.1096,-0.0799,-0.2166,-1.2422,NORMAL,0.0240,0.1220
5/14/2016,10741051.0000,8197764.0000,2543288.0000,38598076.0000,25125519.0000,13472557.0000,16015845.0000,329.1100,373.2400,0.0021,0.0078,-0.2682,-0.6352,1.3264,-0.2476,-0.3943,0.3721,6.9043,WEEKEND,0.0240,0.1220
5/15/2016,4343168.0000,5044705.0000,-701536.0000,20537136.0000,15772254.0000,4764882.0000,4063346.0000,329.1100,373.2400,0.0000,0.0000,-0.5956,-0.3846,1.2758,-0.4679,-0.3723,-0.6463,-0.7463,WEEKEND,0.0240,0.1220
5/16/2016,16246167.0000,26238157.0000,-9991989.0000,51355083.0000,36155013.0000,15200070.0000,5208080.0000,329.1100,373.2400,0.0000,0.0000,2.7406,4.2011,-13.2430,1.5006,1.2923,2.1900,0.2817,NORMAL,0.0240,0.1220
5/17/2016,14684635.0000,37927439.0000,-23242804.0000,53810062.0000,42230672.0000,11579390.0000,-11663414.0000,327.8800,370.8000,0.0037,0.0065,-0.0961,0.4455,-1.3261,0.0478,0.1680,-0.2382,-3.2395,NORMAL,0.0240,0.1220
5/18/2016,12896745.0000,33175528.0000,-20278783.0000,50580151.0000,40702955.0000,9877196.0000,-10401587.0000,328.0700,371.5700,-0.0006,-0.0021,-0.1218,-0.1253,0.1275,-0.0600,-0.0362,-0.1470,-0.1082,NORMAL,0.0240,0.1220
5/19/2016,17815928.0000,36785247.0000,-18969319.0000,60191120.0000,37619239.0000,22571882.0000,3602563.0000,329.8900,371.6900,-0.0055,-0.0003,0.3814,0.1088,0.0646,0.1900,-0.0758,1.2853,-1.3463,NORMAL,0.0240,0.1220
5/20/2016,24222664.0000,53996626.0000,-29773962.0000,64794171.0000,39654299.0000,25139872.0000,-4634090.0000,334.8900,375.4800,-0.0152,-0.0102,0.3596,0.4679,-0.5696,0.0765,0.0541,0.1138,-2.2863,NORMAL,0.0240,0.1220
5/21/2016,10277268.0000,10726679.0000,-449411.0000,31978504.0000,19157767.0000,12820736.0000,12371325.0000,335.0100,375.8800,-0.0004,-0.0011,-0.5757,-0.8013,0.9849,-0.5065,-0.5169,-0.4900,-3.6696,WEEKEND,0.0240,0.1220
5/22/2016,3008211.0000,6466170.0000,-3457959.0000,19372970.0000,15425061.0000,3947909.0000,489950.0000,335.0100,375.8800,0.0000,0.0000,-0.7073,-0.3972,-6.6944,-0.3942,-0.1948,-0.6921,-0.9604,WEEKEND,0.0240,0.1220
5/23/2016,21705283.0000,27532138.0000,-5826855.0000,50781199.0000,39061178.0000,11720021.0000,5893165.0000,335.0100,375.8800,0.0000,0.0000,6.2153,3.2579,-0.6851,1.6212,1.5323,1.9687,11.0281,NORMAL,0.0240,0.1220
5/24/2016,13216741.0000,33836004.0000,-20619262.0000,56448811.0000,43250500.0000,13198311.0000,-7420952.0000,336.3700,376.9400,-0.0041,-0.0028,-0.3911,0.2290,-2.5387,0.1116,0.1073,0.1261,-2.2592,NORMAL,0.0240,0.1220
5/25/2016,14404909.0000,30275049.0000,-15870141.0000,52321543.0000,33927803.0000,18393739.0000,2523599.0000,336.4800,376.1500,-0.0003,0.0021,0.0899,-0.1052,0.2303,-0.0731,-0.2156,0.3936,-1.3401,NORMAL,0.0240,0.1220
5/26/2016,13875428.0000,26207883.0000,-12332455.0000,48120360.0000,32549382.0000,15570978.0000,3238523.0000,336.2400,374.6000,0.0007,0.0041,-0.0368,-0.1343,0.2229,-0.0803,-0.0406,-0.1535,0.2833,NORMAL,0.0240,0.1220
5/27/2016,12525262.0000,34857116.0000,-22331854.0000,53972793.0000,36274687.0000,17698106.0000,-4633747.0000,333.0900,372.4600,0.0094,0.0057,-0.0973,0.3300,-0.8108,0.1216,0.1145,0.1366,-2.4308,NORMAL,0.0240,0.1220
5/28/2016,7780043.0000,11415988.0000,-3635945.0000,36877767.0000,21969167.0000,14908600.0000,11272655.0000,335.4800,374.8300,-0.0072,-0.0064,-0.3789,-0.6725,0.8372,-0.3167,-0.3944,-0.1576,-3.4327,WEEKEND,0.0240,0.1220
5/29/2016,5919731.0000,5915569.0000,4162.0000,19809310.0000,15767781.0000,4041529.0000,4045692.0000,335.4800,374.8300,0.0000,0.0000,-0.2391,-0.4818,1.0011,-0.4628,-0.2823,-0.7289,-0.6411,WEEKEND,0.0240,0.1220
5/30/2016,13307015.0000,24137646.0000,-10830632.0000,52245164.0000,36269390.0000,15975774.0000,5145143.0000,335.4800,374.8300,0.0000,0.0000,1.2479,3.0804,2603.2662,1.6374,1.3002,2.9529,0.2718,NORMAL,0.0240,0.1220
5/31/2016,15688476.0000,27606430.0000,-11917953.0000,54044016.0000,35550326.0000,18493691.0000,6575737.0000,336.7300,374.8100,-0.0037,0.0001,0.1790,0.1437,-0.1004,0.0344,-0.0198,0.1576,0.2780,SALARY,0.0240,0.1220
6/1/2016,19439069.0000,33150128.0000,-13711059.0000,64438292.0000,41081937.0000,23356355.0000,9645296.0000,335.8400,374.4300,0.0026,0.0010,0.2391,0.2008,-0.1505,0.1923,0.1556,0.2629,0.4668,SALARY,0.0240,0.1220
6/2/2016,18244527.0000,27791799.0000,-9547272.0000,62955688.0000,47997195.0000,14958493.0000,5411220.0000,336.8600,375.9000,-0.0030,-0.0039,-0.0615,-0.1616,0.3037,-0.0230,0.1683,-0.3596,-0.4390,NORMAL,0.0240,0.1220
6/3/2016,15901391.0000,34944441.0000,-19043050.0000,61874096.0000,41603977.0000,20270119.0000,1227069.0000,337.7100,378.3700,-0.0025,-0.0066,-0.1284,0.2574,-0.9946,-0.0172,-0.1332,0.3551,-0.7732,NORMAL,0.0240,0.1220
6/4/2016,11776186.0000,12454124.0000,-677938.0000,42589175.0000,22496074.0000,20093101.0000,19415162.0000,337.7700,376.2800,-0.0002,0.0055,-0.2594,-0.6436,0.9644,-0.3117,-0.4593,-0.0087,14.8224,WEEKEND,0.0240,0.1220
6/5/2016,4035060.0000,7551233.0000,-3516173.0000,25248174.0000,16347984.0000,8900191.0000,5384017.0000,337.7700,376.2800,0.0000,0.0000,-0.6574,-0.3937,-4.1866,-0.4072,-0.2733,-0.5571,-0.7227,WEEKEND,0.0240,0.1220
6/6/2016,15185163.0000,29679471.0000,-14494308.0000,56350182.0000,37117996.0000,19232186.0000,4737878.0000,337.7700,376.2800,0.0000,0.0000,2.7633,2.9304,-3.1222,1.2319,1.2705,1.1609,-0.1200,NORMAL,0.0240,0.1220
6/7/2016,15586281.0000,30290262.0000,-14703980.0000,59657361.0000,43648228.0000,16009133.0000,1305153.0000,335.1000,380.0700,0.0079,-0.0101,0.0264,0.0206,-0.0145,0.0587,0.1759,-0.1676,-0.7245,NORMAL,0.0240,0.1220
6/8/2016,13035287.0000,23001517.0000,-9966230.0000,54295967.0000,35717531.0000,18578436.0000,8612206.0000,333.8800,379.4900,0.0036,0.0015,-0.1637,-0.2406,0.3222,-0.0899,-0.1817,0.1605,5.5986,NORMAL,0.0240,0.1220
6/9/2016,20374671.0000,22226822.0000,-1852151.0000,48683446.0000,43174432.0000,5509014.0000,3656864.0000,331.5900,376.9500,0.0069,0.0067,0.5630,-0.0337,0.8142,-0.1034,0.2088,-0.7035,-0.5754,NORMAL,0.0240,0.1220
6/10/2016,17394978.0000,23074187.0000,-5679209.0000,55671802.0000,37066219.0000,18605583.0000,12926374.0000,330.1600,375.0000,0.0043,0.0052,-0.1462,0.0381,-2.0663,0.1435,-0.1415,2.3773,2.5348,NORMAL,0.0240,0.1220
6/11/2016,7669511.0000,9415257.0000,-1745747.0000,37521874.0000,21048963.0000,16472911.0000,14727164.0000,333.9700,376.8900,-0.0115,-0.0050,-0.5591,-0.5920,0.6926,-0.3260,-0.4321,-0.1146,0.1393,WEEKEND,0.0240,0.1220
6/12/2016,3217347.0000,5608658.0000,-2391311.0000,22807098.0000,15315262.0000,7491836.0000,5100525.0000,333.9700,376.8900,0.0000,0.0000,-0.5805,-0.4043,-0.3698,-0.3922,-0.2724,-0.5452,-0.6537,WEEKEND,0.0240,0.1220
6/13/2016,12179625.0000,27712166.0000,-15532541.0000,60854449.0000,38240419.0000,22614030.0000,7081489.0000,333.9700,376.8900,0.0000,0.0000,2.7856,3.9410,-5.4954,1.6682,1.4969,2.0185,0.3884,NORMAL,0.0240,0.1220
6/14/2016,12025191.0000,30379951.0000,-18354760.0000,64003704.0000,42038457.0000,21965247.0000,3610487.0000,335.8100,378.0900,-0.0055,-0.0032,-0.0127,0.0963,-0.1817,0.0518,0.0993,-0.0287,-0.4902,NORMAL,0.0240,0.1220
6/15/2016,15266719.0000,33366280.0000,-18099561.0000,60975735.0000,39025352.0000,21950384.0000,3850822.0000,337.6500,378.7100,-0.0055,-0.0016,0.2696,0.0983,0.0139,-0.0473,-0.0717,-0.0007,0.0666,NORMAL,0.0240,0.1220
6/16/2016,9614484.0000,25473443.0000,-15858960.0000,56049681.0000,34479848.0000,21569832.0000,5710872.0000,338.7500,380.0400,-0.0033,-0.0035,-0.3702,-0.2366,0.1238,-0.0808,-0.1165,-0.0173,0.4830,NORMAL,0.0240,0.1220
6/17/2016,10015467.0000,34022722.0000,-24007255.0000,60451263.0000,34447247.0000,26004016.0000,1996761.0000,337.9600,379.6600,0.0023,0.0010,0.0417,0.3356,-0.5138,0.0785,-0.0009,0.2056,-0.6504,NORMAL,0.0240,0.1220
6/18/2016,11189523.0000,8788910.0000,2400613.0000,38029000.0000,24176324.0000,13852676.0000,16253289.0000,338.5900,380.9100,-0.0019,-0.0033,0.1172,-0.7417,1.1000,-0.3709,-0.2982,-0.4673,7.1398,WEEKEND,0.0240,0.1220
6/19/2016,3196863.0000,5124256.0000,-1927394.0000,19852263.0000,16052800.0000,3799463.0000,1872069.0000,338.5900,380.9100,0.0000,0.0000,-0.7143,-0.4170,1.8029,-0.4780,-0.3360,-0.7257,-0.8848,WEEKEND,0.0240,0.1220
6/20/2016,14886718.0000,28393351.0000,-13506633.0000,57900431.0000,39456655.0000,18443776.0000,4937143.0000,338.5900,380.9100,0.0000,0.0000,3.6567,4.5410,-6.0077,1.9166,1.4579,3.8543,1.6373,NORMAL,0.0240,0.1220
6/21/2016,14147382.0000,27771647.0000,-13624265.0000,54908329.0000,40947160.0000,13961168.0000,336903.0000,335.8900,380.7300,0.0080,0.0005,-0.0497,-0.0219,-0.0087,-0.0517,0.0378,-0.2430,-0.9318,NORMAL,0.0240,0.1220
6/22/2016,10581429.0000,23984992.0000,-13403563.0000,49517133.0000,34573932.0000,14943201.0000,1539637.0000,335.8700,380.8800,0.0001,-0.0004,-0.2521,-0.1363,0.0162,-0.0982,-0.1556,0.0703,3.5700,NORMAL,0.0240,0.1220
6/23/2016,12427766.0000,22528787.0000,-10101021.0000,51272847.0000,37120909.0000,14151938.0000,4050917.0000,336.7300,380.1700,-0.0026,0.0019,0.1745,-0.0607,0.2464,0.0355,0.0737,-0.0530,1.6311,NORMAL,0.0240,0.1220
6/24/2016,21079580.0000,30061279.0000,-8981698.0000,61353042.0000,45157783.0000,16195258.0000,7213560.0000,336.6300,383.3900,0.0003,-0.0085,0.6962,0.3343,0.1108,0.1966,0.2165,0.1444,0.7807,NORMAL,0.0240,0.1220
6/25/2016,15553630.0000,8682894.0000,6870736.0000,35185874.0000,23709078.0000,11476796.0000,18347532.0000,339.6900,377.5700,-0.0091,0.0152,-0.2621,-0.7112,1.7650,-0.4265,-0.4750,-0.2913,1.5435,WEEKEND,0.0240,0.1220
6/26/2016,3796740.0000,5680611.0000,-1883871.0000,18284971.0000,22259043.0000,-3974072.0000,-5857943.0000,339.6900,377.5700,0.0000,0.0000,-0.7559,-0.3458,1.2742,-0.4803,-0.0612,-1.3463,-1.3193,WEEKEND,0.0240,0.1220
6/27/2016,16740233.0000,25097554.0000,-8357320.0000,59652342.0000,41636265.0000,18016077.0000,9658756.0000,339.6900,377.5700,0.0000,0.0000,3.4091,3.4181,-3.4362,2.2624,0.8705,-5.5334,-2.6488,NORMAL,0.0240,0.1220
6/28/2016,12949604.0000,31305160.0000,-18355556.0000,56069450.0000,41446565.0000,14622886.0000,-3732670.0000,339.1000,373.9300,0.0017,0.0096,-0.2264,0.2473,-1.1963,-0.0601,-0.0046,-0.1883,-1.3865,NORMAL,0.0240,0.1220
6/29/2016,11616303.0000,21105604.0000,-9489301.0000,57173901.0000,35974492.0000,21199409.0000,11710107.0000,339.1200,376.1900,-0.0001,-0.0060,-0.1030,-0.3258,0.4830,0.0197,-0.1320,0.4497,-4.1372,NORMAL,0.0240,0.1220
6/30/2016,12380735.0000,24658046.0000,-12277310.0000,61388077.0000,34452301.0000,26935776.0000,14658466.0000,338.8700,375.7700,0.0007,0.0011,0.0658,0.1683,-0.2938,0.0737,-0.0423,0.2706,0.2518,SALARY,0.0240,0.1220
7/1/2016,15952246.0000,29690238.0000,-13737991.0000,75364352.0000,54179248.0000,21185104.0000,7447113.0000,338.6600,377.2000,0.0006,-0.0038,0.2885,0.2041,-0.1190,0.2277,0.5726,-0.2135,-0.4920,SALARY,0.0240,0.1220
7/2/2016,9127552.0000,10001352.0000,-873800.0000,42389142.0000,27756207.0000,14632935.0000,13759135.0000,338.0400,375.4600,0.0018,0.0046,-0.4278,-0.6631,0.9364,-0.4375,-0.4877,-0.3093,0.8476,WEEKEND,0.0240,0.1220
7/3/2016,4195268.0000,7214001.0000,-3018733.0000,28325384.0000,17709131.0000,10616253.0000,7597520.0000,338.0400,375.4600,0.0000,0.0000,-0.5404,-0.2787,-2.4547,-0.3318,-0.3620,-0.2745,-0.4478,WEEKEND,0.0240,0.1220
7/4/2016,16712717.0000,24388073.0000,-7675357.0000,56236411.0000,45281985.0000,10954426.0000,3279069.0000,338.0400,375.4600,0.0000,0.0000,2.9837,2.3807,-1.5426,0.9854,1.5570,0.0319,-0.5684,NORMAL,0.0240,0.1220
7/5/2016,19621708.0000,34724190.0000,-15102482.0000,64429228.0000,49315043.0000,15114185.0000,11703.0000,337.3900,375.4100,0.0019,0.0001,0.1741,0.4238,-0.9677,0.1457,0.0891,0.3797,-0.9964,NORMAL,0.0240,0.1220
7/6/2016,12155631.0000,6353619.0000,5802013.0000,35895506.0000,27620561.0000,8274945.0000,14076957.0000,337.0700,375.6000,0.0009,-0.0005,-0.3805,-0.8170,1.3842,-0.4429,-0.4399,-0.4525,1201.8503,HOLIDAY,0.0240,0.1220
7/7/2016,14826332.0000,20442284.0000,-5615952.0000,58602203.0000,38212334.0000,20389869.0000,14773916.0000,337.0700,375.6000,0.0000,0.0000,0.2197,2.2174,1.9679,0.6326,0.3835,1.4640,0.0495,NORMAL,0.0240,0.1220
7/8/2016,16652683.0000,32331290.0000,-15678606.0000,66160434.0000,42923533.0000,23236901.0000,7558295.0000,337.2600,374.0200,-0.0006,0.0042,0.1232,0.5816,-1.7918,0.1290,0.1233,0.1396,-0.4884,NORMAL,0.0240,0.1220
7/9/2016,11323433.0000,9006003.0000,2317430.0000,44267360.0000,23617693.0000,20649667.0000,22967097.0000,338.4600,374.4000,-0.0036,-0.0010,-0.3200,-0.7214,1.1478,-0.3309,-0.4498,-0.1113,2.0387,WEEKEND,0.0240,0.1220
7/10/2016,3610553.0000,5743031.0000,-2132478.0000,22268326.0000,17357757.0000,4910569.0000,2778091.0000,338.4600,374.4000,0.0000,0.0000,-0.6811,-0.3623,1.9202,-0.4970,-0.2651,-0.7622,-0.8790,WEEKEND,0.0240,0.1220
7/11/2016,17519495.0000,17460747.0000,58748.0000,58048260.0000,41653485.0000,16394775.0000,16453523.0000,338.4600,374.4000,0.0000,0.0000,3.8523,2.0403,1.0275,1.6068,1.3997,2.3387,4.9226,NORMAL,0.0240,0.1220
7/12/2016,12838542.0000,25697976.0000,-12859434.0000,63411169.0000,44066859.0000,19344310.0000,6484876.0000,337.7100,372.5600,0.0022,0.0049,-0.2672,0.4718,219.8914,0.0924,0.0579,0.1799,-0.6059,NORMAL,0.0240,0.1220
7/13/2016,16404168.0000,21031011.0000,-4626843.0000,64020337.0000,46691986.0000,17328351.0000,12701508.0000,338.5100,376.0200,-0.0024,-0.0093,0.2777,-0.1816,0.6402,0.0096,0.0596,-0.1042,0.9586,NORMAL,0.0240,0.1220
7/14/2016,13224521.0000,24086845.0000,-10862324.0000,61407802.0000,38298287.0000,23109516.0000,12247191.0000,338.3500,374.7900,0.0005,0.0033,-0.1938,0.1453,-1.3477,-0.0408,-0.1798,0.3336,-0.0358,NORMAL,0.0240,0.1220
7/15/2016,15017239.0000,22540370.0000,-7523131.0000,61282805.0000,42531703.0000,18751102.0000,11227971.0000,338.9500,376.6800,-0.0018,-0.0050,0.1356,-0.0642,0.3074,-0.0020,0.1105,-0.1886,-0.0832,NORMAL,0.0240,0.1220
7/16/2016,8349907.0000,7321124.0000,1028783.0000,33379353.0000,24082319.0000,9297034.0000,10325818.0000,338.5200,377.0400,0.0013,-0.0010,-0.4440,-0.6752,1.1367,-0.4553,-0.4338,-0.5042,-0.0803,WEEKEND,0.0240,0.1220
7/17/2016,3215821.0000,4035892.0000,-820071.0000,20934522.0000,17478062.0000,3456461.0000,2636390.0000,338.5200,377.0400,0.0000,0.0000,-0.6149,-0.4487,1.7971,-0.3728,-0.2742,-0.6282,-0.7447,WEEKEND,0.0240,0.1220
7/18/2016,12212024.0000,18681292.0000,-6469268.0000,43364873.0000,35596674.0000,7768199.0000,1298932.0000,338.5200,377.0400,0.0000,0.0000,2.7975,3.6288,-6.8887,1.0715,1.0366,1.2474,-0.5073,NORMAL,0.0240,0.1220
