DATE, INBOUND_FOR , OUTBOUND_FOR , NET_FOR , INBOUND_KZT , OUTBOUND_KZT , NET_KZT , NET_TOTAL ,USD,EUR,DELTA_NET_USD,DELTA_NET_EUR,DELTA_IN_FOR,DELTA_OUT_FOR,DELTA_NET_FOR,DELTA_IN_KZT,DELTA_OUT_KZT,DELTA_NET_KZT,DELTA_NET_TOTAL,CALENDAR,RATE_FOR,RATE_KZT
1/23/2016,28733447.0000,61891186.0000,-33157739.0000,72830653.0000,16492667.0000,56337986.0000,23180247.0000,381.1600,412.9500,0.0072,0.0126,-0.5018,-0.3130,-0.0227,0.4977,-0.6366,16.3508,-1.7945,WEEKEND,0.0240,0.1220
1/24/2016,7434043.0000,10435314.0000,-3001271.0000,9877539.0000,8128339.0000,1749200.0000,-1252072.0000,381.1600,412.9500,0.0000,0.0000,-0.7413,-0.8314,0.9095,-0.8644,-0.5072,-0.9690,-1.0540,WEEKEND,0.0240,0.1220
1/25/2016,82908779.0000,99732352.0000,-16823573.0000,61657591.0000,64352584.0000,-2694993.0000,-19518566.0000,381.1600,412.9500,0.0000,0.0000,10.1526,8.5572,-4.6055,5.2422,6.9171,-2.5407,14.5890,NORMAL,0.0240,0.1220
1/26/2016,57545594.0000,121877427.0000,-64331834.0000,36742750.0000,46589174.0000,-9846424.0000,-74178258.0000,372.8900,403.2800,0.0217,0.0234,-0.3059,0.2220,-2.8239,-0.4041,-0.2760,2.6536,2.8004,NORMAL,0.0240,0.1220
1/27/2016,41310442.0000,56609777.0000,-15299335.0000,30796268.0000,26699781.0000,4096486.0000,-11202849.0000,380.3000,412.1300,-0.0199,-0.0219,-0.2821,-0.5355,0.7622,-0.1618,-0.4269,-1.4160,-0.8490,NORMAL,0.0240,0.1220
1/28/2016,49288994.0000,69344494.0000,-20055501.0000,48676275.0000,35599797.0000,13076478.0000,-6979023.0000,375.4900,408.2700,0.0126,0.0094,0.1931,0.2250,-0.3109,0.5806,0.3333,2.1921,-0.3770,NORMAL,0.0240,0.1220
1/29/2016,68425027.0000,117637795.0000,-49212768.0000,78993717.0000,37711995.0000,41281722.0000,-7931045.0000,371.5500,405.3200,0.0105,0.0072,0.3882,0.6964,-1.4538,0.6228,0.0593,2.1569,0.1364,NORMAL,0.0240,0.1220
1/30/2016,15897107.0000,14117874.0000,1779234.0000,20189496.0000,12215651.0000,7973845.0000,9753079.0000,364.7900,397.8800,0.0182,0.0184,-0.7677,-0.8800,1.0362,-0.7444,-0.6761,-0.8068,-2.2297,WEEKEND,0.0240,0.1220
1/31/2016,6704821.0000,7177766.0000,-472945.0000,10573176.0000,8564507.0000,2008670.0000,1535724.0000,364.7900,397.8800,0.0000,0.0000,-0.5782,-0.4916,1.2658,-0.4763,-0.2989,-0.7481,-0.8425,SALARY,0.0240,0.1220
2/1/2016,35622073.0000,80411379.0000,-44789306.0000,290060859.0000,236902226.0000,53158634.0000,8369327.0000,364.7900,397.8800,0.0000,0.0000,4.3129,10.2028,-93.7030,26.4337,26.6609,25.4646,4.4498,SALARY,0.0240,0.1220
2/2/2016,53152080.0000,80139401.0000,-26987321.0000,251152657.0000,241174191.0000,9978466.0000,-17008855.0000,360.4500,391.2700,0.0119,0.0166,0.4921,-0.0034,0.3975,-0.1341,0.0180,-0.8123,-3.0323,NORMAL,0.0240,0.1220
2/3/2016,38247744.0000,58341186.0000,-20093442.0000,192966169.0000,172506511.0000,20459658.0000,366215.0000,369.1500,403.0000,-0.0241,-0.0300,-0.2804,-0.2720,0.2554,-0.2317,-0.2847,1.0504,-1.0215,NORMAL,0.0240,0.1220
2/4/2016,24559200.0000,45330266.0000,-20771066.0000,159086362.0000,137015355.0000,22071007.0000,1299941.0000,375.2500,409.6200,-0.0165,-0.0164,-0.3579,-0.2230,-0.0337,-0.1756,-0.2057,0.0788,2.5497,NORMAL,0.0240,0.1220
2/5/2016,24949127.0000,36116691.0000,-11167564.0000,130068361.0000,115176800.0000,14891561.0000,3723997.0000,363.3400,405.6000,0.0317,0.0098,0.0159,-0.2033,0.4623,-0.1824,-0.1594,-0.3253,1.8647,NORMAL,0.0240,0.1220
2/6/2016,20503065.0000,12983910.0000,7519154.0000,96710040.0000,76225315.0000,20484725.0000,28003879.0000,363.7200,406.9700,-0.0010,-0.0034,-0.1782,-0.6405,1.6733,-0.2565,-0.3382,0.3756,6.5198,WEEKEND,0.0240,0.1220
2/7/2016,12463819.0000,9518366.0000,2945453.0000,47681322.0000,36858249.0000,10823073.0000,13768526.0000,363.7200,406.9700,0.0000,0.0000,-0.3921,-0.2669,0.6083,-0.5070,-0.5165,-0.4717,-0.5083,WEEKEND,0.0240,0.1220
2/8/2016,28104783.0000,41645438.0000,-13540654.0000,132286638.0000,114552451.0000,17734187.0000,4193533.0000,363.7200,406.9700,0.0000,0.0000,1.2549,3.3753,5.5971,1.7744,2.1079,0.6386,-0.6954,NORMAL,0.0240,0.1220
2/9/2016,22431120.0000,42783051.0000,-20351931.0000,115910766.0000,97624613.0000,18286153.0000,-2065778.0000,359.8900,402.0300,0.0105,0.0121,-0.2019,0.0273,-0.5030,-0.1238,-0.1478,0.0311,-1.4926,NORMAL,0.0240,0.1220
2/10/2016,27652333.0000,47509166.0000,-19856833.0000,101122725.0000,82231715.0000,18891010.0000,-965823.0000,360.3700,402.9300,-0.0013,-0.0022,0.2328,0.1105,0.0243,-0.1276,-0.1577,0.0331,-0.5325,NORMAL,0.0240,0.1220
2/11/2016,25031078.0000,41135474.0000,-16104396.0000,87887196.0000,70331631.0000,17555565.0000,1451169.0000,362.2300,407.8300,-0.0052,-0.0122,-0.0948,-0.1342,0.1890,-0.1309,-0.1447,-0.0707,-2.5025,NORMAL,0.0240,0.1220
