DATE,IN_FOR,OUT_FOR,IN_KZT,OUT_KZT
4/12/2016,17665739.00,53761146.00,82765842.00,39241777.00
4/13/2016,21086947.00,67705140.00,98328648.00,39475616.00
4/14/2016,17241464.00,49555565.00,74757795.00,37024112.00
4/15/2016,19326094.00,39819921.00,62625550.00,41455113.00
4/16/2016,13295468.00,13366450.00,38630800.00,24921886.00
4/17/2016,5610511.00,7026215.00,19391115.00,13280599.00
4/18/2016,48096699.00,31758372.00,57586477.00,71228558.00
4/19/2016,23168856.00,37300462.00,58656125.00,46023780.00
4/20/2016,16942585.00,28958303.00,49283380.00,37062161.00
4/21/2016,16869724.00,36459114.00,53606228.00,37958117.00
4/22/2016,14703832.00,24692106.00,49027406.00,36663793.00
4/23/2016,8187154.00,10170839.00,32486628.00,21891945.00
4/24/2016,2986009.00,6944768.00,17532456.00,15784925.00
4/25/2016,16290438.00,27923838.00,49366686.00,35465392.00
4/26/2016,16878950.00,33361356.00,49077217.00,37055276.00
4/27/2016,14804474.00,35618220.00,54722836.00,33832635.00
4/28/2016,13547176.00,36825681.00,59774314.00,36457872.00
4/29/2016,14127836.00,50829956.00,84285029.00,35838033.00
4/30/2016,10869634.00,16720328.00,45682972.00,21265549.00
5/1/2016,4487027.00,7653309.00,21557277.00,14132495.00
5/2/2016,9279476.00,9102543.00,27482802.00,26157173.00
5/3/2016,25351328.00,31176430.00,65353315.00,50268917.00
5/4/2016,20877902.00,45776657.00,63793963.00,50519280.00
5/5/2016,19723305.00,34600684.00,62630405.00,41444296.00
5/6/2016,22257361.00,30514278.00,67918295.00,38798803.00
5/7/2016,7513171.00,6744683.00,34980298.00,18035846.00
5/8/2016,2760734.00,5657686.00,22497470.00,13851965.00
5/9/2016,3009007.00,6155687.00,19857890.00,11105130.00
5/10/2016,10426316.00,9304042.00,37882936.00,27888621.00
5/11/2016,17261497.00,24732599.00,57005846.00,40093939.00
5/12/2016,19695671.00,40596062.00,57618323.00,45084383.00
5/13/2016,14677931.00,22470303.00,51302305.00,41483714.00
5/14/2016,10741051.00,8197764.00,38598076.00,25125519.00
5/15/2016,4343168.00,5044705.00,20537136.00,15772254.00
5/16/2016,16246167.00,26238157.00,51355083.00,36155013.00
5/17/2016,14684635.00,37927439.00,53810062.00,42230672.00
5/18/2016,12896745.00,33175528.00,50580151.00,40702955.00
5/19/2016,17815928.00,36785247.00,60191120.00,37619239.00
5/20/2016,24222664.00,53996626.00,64794171.00,39654299.00
5/21/2016,10277268.00,10726679.00,31978504.00,19157767.00
5/22/2016,3008211.00,6466170.00,19372970.00,15425061.00
5/23/2016,21705283.00,27532138.00,50781199.00,39061178.00
5/24/2016,13216741.00,33836004.00,56448811.00,43250500.00
5/25/2016,14404909.00,30275049.00,52321543.00,33927803.00
5/26/2016,13875428.00,26207883.00,48120360.00,32549382.00
5/27/2016,12525262.00,34857116.00,53972793.00,36274687.00
5/28/2016,7780043.00,11415988.00,36877767.00,21969167.00
5/29/2016,5919731.00,5915569.00,19809310.00,15767781.00
5/30/2016,13307015.00,24137646.00,52245164.00,36269390.00
5/31/2016,15688476.00,27606430.00,54044016.00,35550326.00
6/1/2016,19439069.00,33150128.00,64438292.00,41081937.00
6/2/2016,18244527.00,27791799.00,62955688.00,47997195.00
6/3/2016,15901391.00,34944441.00,61874096.00,41603977.00
6/4/2016,11776186.00,12454124.00,42589175.00,22496074.00
6/5/2016,4035060.00,7551233.00,25248174.00,16347984.00
6/6/2016,15185163.00,29679471.00,56350182.00,37117996.00
6/7/2016,15586281.00,30290262.00,59657361.00,43648228.00
6/8/2016,13035287.00,23001517.00,54295967.00,35717531.00
6/9/2016,20374671.00,22226822.00,48683446.00,43174432.00
6/10/2016,17394978.00,23074187.00,55671802.00,37066219.00
6/11/2016,7669511.00,9415257.00,37521874.00,21048963.00
6/12/2016,3217347.00,5608658.00,22807098.00,15315262.00
6/13/2016,12179625.00,27712166.00,60854449.00,38240419.00
6/14/2016,12025191.00,30379951.00,64003704.00,42038457.00
6/15/2016,15266719.00,33366280.00,60975735.00,39025352.00
6/16/2016,9614484.00,25473443.00,56049681.00,34479848.00
6/17/2016,10015467.00,34022722.00,60451263.00,34447247.00
6/18/2016,11189523.00,8788910.00,38029000.00,24176324.00
6/19/2016,3196863.00,5124256.00,19852263.00,16052800.00
6/20/2016,14886718.00,28393351.00,57900431.00,39456655.00
6/21/2016,14147382.00,27771647.00,54908329.00,40947160.00
6/22/2016,10581429.00,23984992.00,49517133.00,34573932.00
