iter	Passed	Remaining
416	2948	4122
417	2956	4116
418	2964	4111
419	2972	4105
420	2980	4099
421	2981	4084
422	2992	4082
423	3004	4081
424	3014	4078
425	3023	4073
426	3029	4065
427	3036	4058
428	3040	4046
429	3042	4032
430	3049	4026
431	3057	4019
432	3065	4013
433	3066	3999
434	3073	3992
435	3080	3985
436	3090	3981
437	3101	3979
438	3110	3975
439	3118	3969
440	3120	3955
441	3129	3951
442	3132	3938
443	3138	3929
444	3139	3915
445	3148	3910
446	3153	3901
447	3163	3897
448	3169	3889
449	3171	3875
450	3180	3871
451	3185	3862
452	3193	3856
453	3202	3851
454	3212	3848
455	3218	3839
456	3225	3831
457	3230	3822
458	3235	3814
459	3237	3800
460	3242	3791
461	3248	3782
462	3253	3773
463	3259	3765
464	3261	3752
465	3263	3739
466	3268	3730
467	3274	3722
468	3280	3713
469	3281	3700
470	3287	3691
471	3292	3683
472	3298	3674
473	3303	3666
474	3309	3657
475	3314	3648
476	3316	3636
477	3321	3627
478	3327	3619
479	3332	3610
480	3338	3602
481	3344	3593
482	3349	3585
483	3354	3576
484	3360	3568
485	3362	3555
486	3367	3547
487	3372	3538
488	3378	3530
489	3379	3517
490	3385	3509
491	3391	3501
492	3392	3488
493	3400	3483
494	3404	3472
495	3410	3465
496	3417	3458
497	3423	3450
498	3428	3442
499	3434	3434
500	3439	3425
501	3445	3417
502	3450	3409
503	3451	3397
504	3457	3389
505	3459	3377
506	3460	3365
507	3467	3358
508	3473	3350
509	3478	3342
510	3484	3334
511	3489	3326
512	3491	3314
513	3496	3306
514	3502	3298
515	3504	3286
516	3509	3278
517	3515	3270
518	3520	3262
519	3526	3254
520	3531	3247
521	3537	3239
522	3542	3231
523	3548	3223
524	3550	3212
525	3555	3204
526	3561	3196
527	3566	3188
528	3571	3180
529	3577	3172
530	3582	3164
531	3587	3156
532	3594	3149
533	3604	3145
534	3610	3138
535	3616	3130
536	3622	3123
537	3628	3115
538	3634	3108
539	3639	3100
540	3645	3092
541	3650	3084
542	3655	3076
543	3661	3069
544	3666	3061
545	3672	3053
546	3678	3045
547	3679	3035
548	3685	3027
549	3691	3020
550	3696	3012
551	3698	3001
552	3703	2993
553	3709	2986
554	3714	2978
555	3720	2970
556	3725	2963
557	3731	2955
558	3736	2947
559	3741	2939
560	3747	2932
561	3753	2925
562	3754	2914
563	3760	2906
564	3765	2899
565	3771	2891
566	3776	2884
567	3781	2876
568	3787	2869
569	3796	2864
570	3806	2859
571	3813	2853
572	3819	2846
573	3825	2838
574	3830	2831
575	3837	2824
576	3843	2817
577	3849	2810
578	3854	2802
579	3856	2792
580	3861	2784
581	3867	2777
582	3872	2770
583	3874	2759
584	3879	2752
585	3885	2745
586	3891	2737
587	3892	2727
588	3897	2719
589	3903	2712
590	3909	2705
591	3914	2697
592	3920	2690
593	3925	2682
594	3927	2673
595	3932	2665
596	3938	2658
597	3944	2651
598	3949	2644
599	3954	2636
600	3960	2629
601	3961	2619
602	3967	2612
603	3972	2604
604	3978	2597
605	3986	2591
606	3994	2586
607	3996	2576
608	3997	2566
609	4004	2560
610	4006	2550
611	4011	2543
612	4017	2536
613	4020	2527
614	4025	2520
615	4031	2513
616	4036	2505
617	4042	2498
618	4047	2491
619	4052	2483
620	4057	2476
621	4063	2469
622	4068	2462
623	4074	2455
624	4080	2448
625	4082	2439
626	4084	2429
627	4090	2422
628	4095	2415
629	4100	2408
630	4106	2401
631	4111	2394
632	4117	2387
633	4122	2380
634	4124	2370
635	4130	2363
636	4132	2354
637	4138	2348
638	4143	2340
639	4145	2331
640	4150	2324
641	4157	2318
642	4162	2311
643	4167	2303
644	4169	2295
645	4175	2288
646	4183	2282
647	4192	2277
648	4194	2268
649	4199	2261
650	4205	2254
651	4211	2247
652	4217	2241
653	4222	2233
654	4228	2227
655	4229	2217
656	4230	2208
657	4236	2201
658	4241	2194
659	4247	2188
660	4252	2181
661	4254	2172
662	4259	2165
663	4265	2158
664	4271	2151
665	4272	2142
666	4278	2136
667	4284	2129
668	4289	2122
669	4294	2115
670	4296	2106
671	4302	2099
672	4307	2093
673	4313	2086
674	4318	2079
675	4324	2072
676	4329	2065
677	4335	2058
678	4340	2052
679	4346	2045
680	4351	2038
681	4353	2029
682	4358	2022
683	4363	2015
684	4368	2008
685	4374	2002
686	4382	1996
687	4386	1989
688	4392	1982
689	4400	1976
690	4405	1970
691	4411	1963
692	4416	1956
693	4418	1948
694	4424	1941
695	4426	1933
696	4431	1926
697	4433	1918
698	4438	1911
699	4444	1904
700	4449	1898
701	4455	1891
702	4460	1884
703	4466	1877
704	4471	1871
705	4477	1864
706	4478	1856
707	4480	1848
708	4486	1841
709	4491	1834
710	4497	1827
711	4502	1821
712	4508	1814
713	4513	1807
714	4518	1801
715	4520	1793
716	4526	1786
717	4529	1778
718	4534	1772
719	4540	1765
720	4545	1759
721	4551	1752
722	4556	1745
723	4562	1739
724	4570	1733
725	4579	1728
726	4581	1720
727	4586	1713
728	4589	1706
729	4594	1699
730	4600	1692
731	4605	1686
732	4610	1679
733	4616	1672
734	4621	1666
735	4627	1659
736	4628	1651
737	4634	1645
738	4639	1638
739	4645	1632
740	4650	1625
741	4656	1619
742	4661	1612
743	4667	1605
744	4672	1599
745	4678	1592
746	4683	1586
747	4689	1579
748	4694	1573
749	4699	1566
750	4705	1560
751	4710	1553
752	4716	1547
753	4721	1540
754	4723	1532
755	4729	1526
756	4730	1518
757	4736	1512
758	4737	1504
759	4740	1496
760	4745	1490
761	4751	1483
762	4756	1477
763	4761	1470
764	4770	1465
765	4776	1459
766	4780	1452
767	4786	1445
768	4793	1439
769	4799	1433
770	4800	1425
771	4802	1418
772	4804	1411
