iter	RMSE
350	51.83750537
351	51.8019181
352	51.76722565
353	51.76658916
354	51.73491746
355	51.66399709
356	51.58893521
357	51.4992479
358	51.47342489
359	51.44186
360	51.38733754
361	51.38720363
362	51.36439219
363	51.31451266
364	51.28166594
365	51.28157769
366	51.23973629
367	51.23966549
368	51.2081086
369	51.18169559
370	51.11161667
371	51.09222535
372	51.07570627
373	51.07550136
374	51.0753357
375	51.03497781
376	51.03486137
377	50.96952945
378	50.94319846
379	50.91458629
380	50.85588516
381	50.84006703
382	50.83996407
383	50.79972613
384	50.78760688
385	50.7603472
386	50.71118848
387	50.63228122
388	50.6072509
389	50.58882526
390	50.58881768
391	50.56368642
392	50.51715379
393	50.48899816
394	50.46361495
395	50.42365563
396	50.40233275
397	50.36804596
398	50.36796028
399	50.36787948
400	50.367688
401	50.36755806
402	50.34196102
403	50.32168734
404	50.29598112
405	50.29597545
406	50.27633288
407	50.24930509
408	50.20947794
409	50.18092423
410	50.15681163
411	50.14108978
412	50.11336412
413	50.09325999
414	50.0932545
415	50.06475121
416	50.04559762
417	50.01416047
418	49.98122838
419	49.96343382
420	49.93683642
421	49.93680823
422	49.87884999
423	49.8561934
424	49.84192478
425	49.81127012
426	49.77240897
427	49.75684406
428	49.75683662
429	49.75669973
430	49.74776205
431	49.70471804
432	49.68177405
433	49.6817219
434	49.62899376
435	49.61756005
436	49.60673422
437	49.58429556
438	49.53165513
439	49.49336481
440	49.49336254
441	49.47061263
442	49.47060888
443	49.43445465
444	49.43439653
445	49.39079336
446	49.36348601
447	49.32200462
448	49.28427699
449	49.28412924
450	49.2630676
451	49.24399989
452	49.20547853
453	49.17554836
454	49.14847596
455	49.11260615
456	49.07535016
457	49.05842867
458	49.03174466
459	49.03169516
460	49.00021053
461	48.95653032
462	48.94027138
463	48.92765469
464	48.92757677
465	48.92710422
466	48.89317269
467	48.87295989
468	48.86170282
469	48.86134362
470	48.83384261
471	48.81310355
472	48.78630702
473	48.74643685
474	48.70267424
475	48.66667788
476	48.66643081
477	48.64853024
478	48.63100619
479	48.60874004
480	48.59889968
481	48.57341619
482	48.56396399
483	48.51818624
484	48.51022762
485	48.51022409
486	48.43636403
487	48.42113924
488	48.38510723
489	48.38510329
490	48.37324869
491	48.33805134
492	48.33804805
493	48.31181752
494	48.31181667
495	48.26342835
496	48.2486457
497	48.23379888
498	48.18236626
499	48.14779941
500	48.13548625
501	48.11484385
502	48.09353831
503	48.09353294
504	48.08054308
505	48.08041018
506	48.08039941
507	48.06955477
508	48.04587649
509	48.03016327
510	48.01949804
511	47.97894225
512	47.97893518
513	47.94527551
514	47.91488287
515	47.91486929
516	47.88078105
517	47.86118835
518	47.83027627
519	47.8063381
520	47.77655295
521	47.74657527
522	47.71716347
523	47.6967399
524	47.69672608
525	47.67614651
526	47.64805995
527	47.62732874
528	47.61414626
529	47.57678096
530	47.56102802
531	47.54441001
532	47.478263
533	47.44093175
534	47.38679817
535	47.3458182
536	47.33185089
537	47.31379462
538	47.27851604
539	47.26781001
540	47.2488326
541	47.22502831
542	47.20995866
543	47.19070956
544	47.17900137
545	47.17515734
546	47.15415952
547	47.15414235
548	47.14441831
549	47.12389873
550	47.1064262
551	47.10637968
552	47.09119439
553	47.08341584
554	47.07275699
555	47.04241342
556	47.02247164
557	47.00536968
558	46.99331174
559	46.98698561
560	46.970426
561	46.94400061
562	46.94383863
563	46.91800467
564	46.90204518
565	46.88303048
566	46.86603938
567	46.84879907
568	46.82152317
569	46.8152826
570	46.79985844
571	46.775242
572	46.75843287
573	46.72971254
574	46.71521931
575	46.70631793
576	46.69143422
577	46.66463693
578	46.65051047
579	46.6504512
580	46.6278806
581	46.59612467
582	46.55502251
583	46.55483824
584	46.54067083
585	46.52249118
586	46.5137538
587	46.51365834
588	46.50396436
589	46.47573848
590	46.46088789
